show,season,release-year,year-filmed,film_set_type,name,city,state,country,lat,long,contestants
Love is Blind,1,2020,2018,pods,Trilith Studios,Atlanta,GA,USA,33.4731485,-84.5147164,30
Love is Blind,1,2020,2018,honeymoon-retreat,Grand Velas,Playa Del Carmen,na,Mexico,20.6475243,-87.348466,12
Love is Blind,1,2020,2018,apartments,Spectrum on Spring,Atlanta,GA,USA,33.7896249,-84.3921131,10
Love is Blind,1,2020,2018,wedding-location,Flourish Atlanta,Atlanta,GA,USA,33.8418247,-84.3732376,4
Love is Blind,2,2022,2021,pods,LA North Studios,Santa Clarita,CA,USA,34.4314579,-118.5711561,30
Love is Blind,2,2022,2021,honeymoon-retreat,TRS Coral Hotel,Cancun,na,Mexico,21.26558,-86.8188626,12
Love is Blind,2,2022,2021,apartments,Sentral Apartments,Chicago,IL,USA,41.871533,-87.626628,10
Love is Blind,2,2022,2021,wedding-location,Ravisloe Country Club,Homewood,IL,USA,41.5616385,-87.6736343,4
Love is Blind,3,2022,2022,pods,Trilith Studios,Atlanta,GA,USA,33.4731485,-84.5147164,30
Love is Blind,3,2022,2022,honeymoon-retreat,Calamigos Ranch,Malibu,CA,USA,34.092137,-118.817412,10
Love is Blind,3,2022,2022,apartments,The Jewel on Landmark,Dallas,TX,USA,32.9462948,-96.8286632,10
Love is Blind,3,2022,2022,wedding-location,Lone Star Mansion,Burleson,TX,USA,32.5162831,-97.2704277,4
Love is Blind,4,2023,2022,pods,LA North Studios,Santa Clarita,CA,USA,34.4314579,-118.5711561,20
Love is Blind,4,2023,2022,honeymoon-retreat,TRS Yucatan Hotel,Playa del Carmen,na,Mexico,20.43851,-87.2891,10
Love is Blind,4,2023,2022,apartments,na,Seattle,WA,USA,47.6205904,-122.3010181,8
